Student ID,Student Name,Total Sessions,Attended,Absent,Late,Attendance %,Avg Score,Report Date
11,James Jackson,0,0,0,0,0%,0,2025-12-12
64,Janet Cox,0,0,0,0,0%,0,2025-12-12
43,Jason Torres,0,0,0,0,0%,0,2025-12-12
53,Jeffrey Cook,0,0,0,0,0%,0,2025-12-12
6,Jennifer Miller,0,0,0,0,0%,0,2025-12-12
73,Jeremy Barnes,0,0,0,0,0%,0,2025-12-12
8,Jessica Taylor,0,0,0,0,0%,0,2025-12-12
86,Joan Diaz,0,0,0,0,0%,0,2025-12-12
1,John Smith,0,0,0,0,0%,0,2025-12-12
19,Joseph Clark,0,0,0,0,0%,0,2025-12-12
76,Judith Coleman,0,0,0,0,0%,0,2025-12-12
94,Katherine Woods,0,0,0,0,0%,0,2025-12-12
35,Kenneth Ramirez,0,0,0,0,0%,0,2025-12-12
45,Kevin Collins,0,0,0,0,0%,0,2025-12-12
59,Larry Bailey,0,0,0,0,0%,0,2025-12-12
16,Laura Garcia,0,0,0,0,0%,0,2025-12-12
26,Linda Young,0,0,0,0,0%,0,2025-12-12
96,Lori West,0,0,0,0,0%,0,2025-12-12
30,Margaret Green,0,0,0,0,0%,0,2025-12-12
100,Marie Fisher,0,0,0,0,0%,0,2025-12-12
25,Mark Allen,0,0,0,0,0%,0,2025-12-12
54,Martha Rogers,0,0,0,0,0%,0,2025-12-12
9,Matthew Anderson,0,0,0,0,0%,0,2025-12-12
80,Megan Hughes,0,0,0,0,0%,0,2025-12-12
3,Michael Brown,0,0,0,0,0%,0,2025-12-12
14,Michelle Martin,0,0,0,0,0%,0,2025-12-12
32,Nancy Adams,0,0,0,0,0%,0,2025-12-12
92,Nicole Sullivan,0,0,0,0,0%,0,2025-12-12
52,Pamela Rivera,0,0,0,0,0%,0,2025-12-12
24,Patricia Hall,0,0,0,0,0%,0,2025-12-12
69,Patrick Brooks,0,0,0,0,0%,0,2025-12-12
31,Paul Baker,0,0,0,0,0%,0,2025-12-12
72,Rachel Bennett,0,0,0,0,0%,0,2025-12-12
67,Raymond Wood,0,0,0,0,0%,0,2025-12-12
22,Rebecca Lee,0,0,0,0,0%,0,2025-12-12
15,Robert Thompson,0,0,0,0,0%,0,2025-12-12
41,Ronald Evans,0,0,0,0,0%,0,2025-12-12
90,Rose Hamilton,0,0,0,0,0%,0,2025-12-12
46,Ruth Edwards,0,0,0,0,0%,0,2025-12-12
4,Sarah Davis,0,0,0,0,0%,0,2025-12-12
61,Scott Kelly,0,0,0,0,0%,0,2025-12-12
42,Sharon Turner,0,0,0,0,0%,0,2025-12-12
20,Stephanie Rodriguez,0,0,0,0,0%,0,2025-12-12
65,Stephen Diaz,0,0,0,0,0%,0,2025-12-12
51,Steven Murphy,0,0,0,0,0%,0,2025-12-12
29,Steven Scott,0,0,0,0,0%,0,2025-12-12
56,Teresa Peterson,0,0,0,0,0%,0,2025-12-12
21,Thomas Lewis,0,0,0,0,0%,0,2025-12-12
47,Timothy Stewart,0,0,0,0,0%,0,2025-12-12
91,Tyler Graham,0,0,0,0,0%,0,2025-12-12
74,Victoria Fisher,0,0,0,0,0%,0,2025-12-12
77,Walter Gray,0,0,0,0,0%,0,2025-12-12
17,William Martinez,0,0,0,0,0%,0,2025-12-12
83,Zachary Simmons,0,0,0,0,0%,0,2025-12-12
